757,20	728,70	701,00	915,40	931,10	993,00
749,20	738,80	716,00	930,40	940,80	988,00
747,80	743,30	724,00	941,00	959,90	970,00
750,00	740,00	732,00	949,20	958,30	973,00
768,40	750,30	724,00	940,20	960,50	977,00
773,20	761,60	719,00	938,40	949,70	977,00
772,40	751,80	690,00	946,20	948,40	967,00
763,40	744,80	684,00	933,20	954,00	993,00
760,80	737,70	680,00	940,60	955,10	1017,00
754,40	738,10	676,00	944,60	986,60	1029,00
757,00	739,00	685,00	949,80	1007,00	1036,00
759,40	732,50	687,00	957,60	1016,60	1034,00
755,60	736,90	688,00	962,20	981,40	1067,00
764,20	752,40	685,00	969,00	987,30	1110,00
774,40	758,00	683,00	994,80	1008,80	1122,00
773,20	748,50	685,00	1016,00	1021,10	1082,00
770,20	749,30	692,00	1011,20	1022,50	1041,00
770,80	756,90	699,00	988,40	1012,60	1034,00
782,00	758,70	710,00	993,60	1002,90	1038,00
774,20	762,80	713,00	987,00	1011,40	1043,00
779,20	765,10	730,00	998,80	1016,00	1050,00
779,80	769,40	752,00	1010,00	1029,10	1056,00
786,40	752,70	741,00	1008,20	1029,20	1113,00
781,20	752,10	732,00	1001,80	1018,70	1143,00
786,20	754,10	723,00	987,60	998,20	1155,00
787,60	762,10	722,00	963,20	982,60	1151,00
788,60	759,90	726,00	951,20	978,80	1130,00
792,40	760,60	752,00	973,40	992,10	1106,00
804,40	769,20	757,00	970,80	1011,90	1078,00
808,00	771,00	747,00	994,00	1026,30	1057,00
809,80	772,60	732,00	1010,40	1034,20	1038,00
817,40	789,00	731,00	985,80	1028,10	1038,00
810,40	804,50	753,00	998,40	1023,10	1038,00
803,60	787,70	755,00	1010,20	1013,20	1058,00
812,00	797,90	743,00	1005,20	1022,40	1056,00
818,00	808,50	733,00	1018,80	1040,20	1044,00
821,80	804,70	728,00	1030,40	1046,20	1051,00
820,00	810,80	724,00	1023,00	1035,90	1050,00
821,00	810,30	722,00	1009,60	1029,90	1048,00
828,20	806,90	790,00	1002,60	1031,20	1038,00
821,20	804,00	790,00	1008,20	1024,90	1036,00
828,20	793,50	789,00	1007,00	1022,70	1042,00
813,60	796,00	782,00	1008,00	1033,70	1041,00
833,80	793,70	772,00	1023,20	1043,20	1058,00
837,60	780,10	755,00	1028,80	1047,90	1096,00
830,80	772,80	755,00	1037,00	1051,60	1127,00
840,40	814,80	753,00	1047,20	1052,60	1140,00
829,20	793,90	770,00	1054,60	1066,30	1133,00
838,40	812,30	755,00	1054,00	1075,20	1151,00
842,80	806,20	771,00	1054,00	1095,90	1161,00
837,60	806,50	774,00	1063,60	1102,60	1153,00
837,40	823,50	782,00	1072,40	1098,40	1137,00
850,00	834,00	796,00	1059,40	1099,60	1146,00
866,20	847,40	782,00	1054,00	1087,10	1159,00
868,20	834,40	767,00	1053,00	1090,20	1149,00
871,00	831,20	786,00	1070,60	1115,50	1134,00
865,20	833,80	778,00	1076,40	1113,30	1159,00
861,60	843,40	772,00	1069,20	1105,00	1166,00
852,00	839,40	770,00	1061,80	1088,30	1155,00
861,70	832,15	779,00	1029,90	1040,10	1111,00
877,60	847,20	794,00	1059,40	1077,50	1141,00
867,60	857,60	794,00	1062,60	1081,40	1123,00
862,20	855,40	785,00	1064,80	1076,40	1115,00
868,60	853,70	790,00	1048,00	1066,70	1120,00
871,00	843,00	808,00	1042,80	1055,20	1114,00
871,20	837,90	808,00	1029,60	1039,20	1092,00
875,20	844,70	818,00	1025,80	1035,60	1070,00
864,20	842,10	821,00	1022,20	1037,80	1053,00
862,80	843,60	826,00	1011,80	1034,00	1066,00
863,20	843,40	807,00	1015,60	1038,40	1074,00
865,20	846,70	799,00	1016,80	1057,50	1075,00
859,20	852,10	805,00	1012,00	1056,70	1076,00
882,20	861,50	804,00	1014,40	1024,60	1076,00
877,00	861,20	804,00	1001,80	1016,70	1073,00
881,80	875,70	801,00	1002,60	1030,20	1062,00
866,20	861,40	802,00	1003,80	1045,70	1066,00
873,80	862,10	818,00	1012,00	1038,90	1105,00
878,40	856,60	835,00	1037,80	1060,40	1139,00
871,80	864,30	828,00	1040,40	1086,00	1137,00
865,20	857,00	807,00	1041,40	1091,30	1119,00
877,40	858,50	802,00	1026,80	1071,60	1090,00
877,40	859,80	800,00	1016,00	1054,20	1081,00
868,80	854,80	816,00	1016,20	1023,80	1068,00
862,00	853,40	820,00	1019,20	1033,40	1048,00
843,60	830,50	805,00	1028,40	1032,60	1054,00
836,40	816,90	794,00	1028,80	1035,60	1052,00
837,20	817,00	792,00	1029,40	1048,50	1055,00
837,40	830,00	802,00	1022,40	1040,50	1057,00
834,40	826,90	804,00	1029,20	1046,50	1078,00
832,80	812,90	801,00	1049,40	1067,50	1114,00
843,70	803,70	796,00	1054,30	1099,75	1146,00
844,40	815,80	805,00	1052,20	1096,80	1164,00
838,70	821,40	812,00	1038,00	1094,95	1151,00
834,10	812,25	801,00	1025,30	1091,00	1126,00
826,30	809,95	784,00	1022,40	1073,70	1102,00
823,00	810,35	783,00	1033,60	1047,90	1063,00
826,60	798,70	785,00	1001,30	1008,50	1050,00
820,50	788,85	787,00	991,00	1012,95	1052,00
809,30	784,85	775,00	973,20	1021,75	1076,00
810,70	783,65	764,00	954,40	1014,25	1107,00
808,80	788,25	766,00	953,00	986,85	1120,00
805,00	789,05	774,00	952,30	970,40	1117,00
800,50	792,60	767,00	965,20	1005,55	1112,00
796,50	784,40	755,00	975,10	1003,20	1100,00
789,40	779,70	751,00	963,90	997,05	1084,00
792,60	773,40	757,00	947,60	975,95	1059,00
